,NFLX,NVDA,FB,WMT,AMZN,GOOG,DIS,HD,AMD,CRM,TWTR,MCD,MktVal,PctReturns
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,0.9466666666666667,-0.053333333333333344
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.9656,0.020000000000000018
2020-01-24,0.0,0.0,0.0,0.0,-0.684,0.112,0.0,0.0,0.0,0.0,0.34,0.344,0.9746122666666668,0.009333333333333416
2020-01-31,0.0,-0.648,0.0,0.31,0.328,0.0,0.0,0.0,0.26,0.272,0.0,0.0,1.017007900266667,0.043500000000000094
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,-0.392,0.9244601813424003,-0.09099999999999997
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9244601813424003,0.0
2020-02-21,0.0,0.0,0.0,-0.75,0.0,-0.668,0.0,0.0,-0.64,0.0,0.0,0.0,0.7659152602421786,-0.17149999999999999
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7659152602421786,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.7250664463625958,-0.053333333333333344
2020-03-13,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,-0.63,-0.662,0.6642817092758648,-0.08383333333333332
2020-03-20,0.0,0.0,0.0,0.0,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6805566111531235,0.024499999999999966
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6805566111531235,0.0
2020-04-03,0.344,0.0,-0.616,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683278837597736,0.0040000000000000036
2020-04-09,0.0,0.0,0.368,-0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.6871507510107898,0.005666666666666709
2020-04-17,0.348,0.0,0.0,0.0,0.0,0.317,0.0,0.0,0.39,0.0,0.0,0.0,0.747562754537155,0.08791666666666664
2020-04-24,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7653796668536239,0.023833333333333373
2020-05-01,0.0,0.0,0.0,0.4,0.0,-0.634,0.0,0.0,0.0,0.0,0.0,0.0,0.7504547633499783,-0.019499999999999962
2020-05-08,0.0,-0.716,0.0,0.0,0.0,0.372,0.0,0.0,0.0,0.264,0.0,0.0,0.7454517315943118,-0.00666666666666671
2020-05-15,0.006,0.0,-0.704,0.0,0.0,0.304,-0.66,0.0,0.0,0.292,0.0,0.0,0.698115546638073,-0.0635
2020-05-22,0.342,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.34,0.0,0.26,0.0,0.7868925736522145,0.12716666666666665
2020-05-29,0.29,0.392,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.32,-0.72,0.0,0.8276798387198544,0.0518333333333334
2020-06-05,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376,0.28,0.0,0.8961013720540291,0.08266666666666667
2020-06-12,0.0,0.276,0.14,0.0,0.0,0.0,0.27,0.0,0.35,0.0,0.38,0.392,1.0311139787768362,0.15066666666666673
2020-06-19,0.0,0.0,-0.632,0.33,0.0,0.0,-0.67,0.212,0.0,0.336,-0.18,0.0,0.979214575178402,-0.05033333333333334
2020-06-26,0.0,0.032,0.0,0.0,0.0,-0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.9637919456193422,-0.015750000000000042
2020-07-02,0.0,0.0,0.0,-0.74,0.0,0.0,-0.68,0.0,-0.54,0.296,0.0,0.384,0.8609874714199457,-0.10666666666666669
2020-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,-0.512,0.34,-0.224,0.8512296134105196,-0.011333333333333417
2020-07-17,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.328,0.0,0.0,0.0,0.0,0.8925142496609298,0.04849999999999999
2020-07-24,0.252,0.34,0.0,0.0,0.0,0.0,0.0,0.328,0.0,0.284,0.0,0.312,1.005268549868094,0.1263333333333334
2020-07-31,0.0,0.0,0.0,0.0,0.0,0.312,0.0,-0.38,0.0,-0.172,0.0,-0.644,0.9312137666944778,-0.07366666666666666
2020-08-07,0.0,0.0,0.0,0.0,0.0,0.266,0.0,-0.456,0.0,0.0,0.31,0.0,0.9405259043614226,0.010000000000000009
2020-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,0.35,0.0,0.32,0.0,1.0187463087408142,0.08316666666666661
2020-08-21,0.0,0.0,-0.748,0.0,0.0,0.0,0.0,0.0,0.38,-0.684,0.0,0.0,0.9294362156745362,-0.08766666666666667
2020-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.34,0.256,1.0011577103174212,0.0771666666666666
2020-09-04,0.0,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.023516899181177,0.022333333333333316
2020-09-11,0.33,0.254,0.0,0.28,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,1.127915622897657,0.10200000000000009
2020-09-18,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.328,0.0,0.0,0.0,0.0,1.1916428555913747,0.056499999999999995
2020-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.24,0.0,1.2462598198059796,0.04583333333333339
2020-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.2784548651509675,0.025833333333333375
2020-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.192,1.3340676517850347,0.043500000000000094
2020-10-16,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,-0.62,0.28,1.3589702479516885,0.01866666666666661
2020-10-23,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3920385239851796,0.024333333333333318
2020-10-30,0.0,0.0,-0.664,0.0,-0.232,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.3240606427305701,-0.048833333333333284
2020-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,-0.52,0.0,0.0,0.0,1.2958140156856512,-0.021333333333333315
2020-11-13,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.28,0.0,0.0,0.284,1.3864130122823397,0.06991666666666663
2020-11-20,0.0,0.0,0.308,0.0,0.0,0.31,0.0,0.0,0.28,0.0,0.0,0.0,1.4901629193681347,0.07483333333333331
2020-11-27,0.28,0.0,0.0,0.0,0.0,0.0,0.0,-0.684,0.0,0.0,0.3,-0.66,1.3952892135016968,-0.06366666666666665
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,-0.7,0.244,1.3804061285576785,-0.010666666666666824
2020-12-11,0.0,0.296,0.0,0.0,0.0,0.0,0.394,0.0,0.0,0.294,0.0,0.0,1.4935994310994083,0.08200000000000007
2020-12-18,0.0,0.284,0.0,0.33,0.0,0.376,0.0,0.0,0.0,0.0,0.0,0.0,1.6168213841651096,0.08250000000000002
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.26,0.0,1.700357155680307,0.05166666666666675
2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.700357155680307,0.0
