,AMZN,NFLX,NVDA,FB,WMT,GOOG,DIS,HD,ROKU,AMD,CRM,TWTR,MCD,GM,MPC,SBUX,BABA,MktVal,PctReturns
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.9729411764705882,-0.027058823529411802
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.9866768166089965,0.014117647058823568
2020-01-24,-0.68,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.08,0.0,-0.13,-0.02,0.9889984091186649,0.0023529411764706687
2020-01-31,0.33,0.0,-0.65,0.0,0.31,0.0,0.0,0.0,0.0,0.26,0.27,0.0,0.0,0.0,0.0,0.0,0.09,1.024485999092923,0.035882352941176476
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,-0.39,0.0,0.0,-0.2,0.0,0.9467455909264599,-0.07588235294117651
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.9645666844027226,0.018823529411764683
2020-02-21,0.0,0.0,0.0,0.0,-0.75,-0.67,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8476838979398045,-0.12117647058823533
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8476838979398045,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,0.0,0.815771092370306,-0.03764705882352937
2020-03-13,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,-0.66,-0.63,0.0,0.0,0.0,0.7375530405724472,-0.09588235294117653
2020-03-20,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7501348277351537,0.017058823529411793
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7501348277351537,0.0
2020-04-03,0.0,0.34,0.0,-0.62,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7518998508592365,0.0023529411764706687
2020-04-09,0.0,0.0,0.0,0.37,-0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.7549959090686569,0.004117647058823559
2020-04-17,0.0,0.35,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.8131750055910064,0.07705882352941185
2020-04-24,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.7964331672406033,-0.020588235294117685
2020-05-01,0.0,0.0,0.0,0.0,0.4,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856578949779364,-0.01352941176470579
2020-05-08,0.0,0.0,-0.72,0.0,0.0,0.37,0.0,0.0,-0.61,0.0,0.26,0.0,0.0,0.0,0.0,-0.1,0.0,0.7486857587436805,-0.04705882352941182
2020-05-15,0.0,0.01,0.0,-0.7,0.0,0.3,-0.66,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.715215101293963,-0.04470588235294115
2020-05-22,0.0,0.34,0.26,0.0,0.0,0.32,0.0,0.0,0.0,0.34,0.0,0.26,0.0,0.0,0.36,0.38,0.27,0.8216559369571235,0.1488235294117648
2020-05-29,0.0,0.29,0.39,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.32,-0.72,0.0,0.0,0.0,0.0,0.0,0.8516222123049715,0.03647058823529403
2020-06-05,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.38,0.28,0.0,-0.6,0.0,0.0,0.0,0.8861880550397027,0.04058823529411759
2020-06-12,0.0,0.0,0.28,0.14,0.0,0.0,0.27,0.0,-0.64,0.35,0.0,0.38,0.39,0.0,0.0,0.0,0.31,0.9633385445372769,0.08705882352941186
2020-06-19,0.0,0.0,0.0,-0.63,0.33,0.0,-0.67,0.21,0.0,0.0,0.34,-0.18,0.0,0.0,0.0,0.0,0.0,0.9293383606124318,-0.03529411764705881
2020-06-26,0.0,0.0,0.03,0.0,0.0,-0.22,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9348050568513284,0.00588235294117645
2020-07-02,0.0,0.0,0.0,0.0,-0.74,0.0,-0.68,0.0,0.0,-0.54,0.3,0.0,0.38,0.0,0.0,0.0,-0.63,0.8297769592874439,-0.11235294117647054
2020-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,-0.51,0.34,-0.22,0.0,0.0,0.0,0.0,0.8234316060693634,-0.007647058823529451
2020-07-17,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.26,0.8820405615601828,0.0711764705882354
2020-07-24,0.0,0.25,0.34,0.0,0.0,0.0,0.0,0.33,0.35,0.0,0.28,0.0,0.31,0.0,0.0,0.33,0.0,0.9956681397847006,0.12882352941176478
2020-07-31,0.0,0.0,0.0,0.0,0.0,0.31,0.0,-0.38,0.0,0.0,-0.17,0.0,-0.64,0.0,0.0,0.0,0.0,0.9441276713723161,-0.051764705882352935
2020-08-07,0.0,0.0,0.0,0.0,0.0,0.27,0.0,-0.46,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.31,0.9680085477658512,0.02529411764705891
2020-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.35,0.0,0.32,0.0,0.3,0.0,0.28,0.0,1.057976401028795,0.0929411764705883
2020-08-21,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.38,-0.68,0.0,0.0,-0.58,0.0,0.0,-0.62,0.917950112657337,-0.13235294117647056
2020-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.33,0.0,0.34,0.26,0.36,0.0,0.0,0.0,1.0043454173780275,0.09411764705882364
2020-09-04,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,1.039202111275265,0.03470588235294114
2020-09-11,0.0,0.33,0.25,0.0,0.28,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1137801451432545,0.07176470588235295
2020-09-18,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.33,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10984915639569,-0.003529411764705892
2020-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,-0.65,0.0,0.0,0.24,0.0,0.0,0.0,-0.45,0.0,1.0739422719240648,-0.032352941176470584
2020-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.68,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,1.0505682342410116,-0.021764705882352908
2020-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.19,-0.22,0.0,0.0,0.0,1.0691076736687941,0.01764705882352935
2020-10-16,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,-0.62,0.28,0.0,0.27,0.28,0.0,1.117531962417322,0.04529411764705893
2020-10-23,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.1563168952306289,0.03470588235294114
2020-10-30,-0.23,0.0,0.0,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,1.1168660835109956,-0.034117647058823586
2020-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,-0.16,-0.52,0.0,0.0,0.0,0.0,0.0,-0.71,0.0,1.0426273379599706,-0.06647058823529406
2020-11-13,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,-0.68,0.28,0.0,0.0,0.28,0.0,0.0,0.0,0.0,1.0524403011407706,0.009411764705882453
2020-11-20,0.0,0.0,0.0,0.31,0.0,0.31,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.1285874523409556,0.07235294117647051
2020-11-27,0.0,0.28,0.0,0.0,0.0,0.0,0.0,-0.68,0.0,0.0,0.0,0.3,-0.66,0.0,0.0,-0.62,0.0,1.0369727062097487,-0.08117647058823518
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.7,0.24,-0.64,0.0,0.4,0.0,1.014403300251066,-0.021764705882352908
2020-12-11,0.0,0.0,0.3,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0728806669714215,0.057647058823529385
2020-12-18,0.0,0.0,0.28,0.0,0.33,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.34,0.0,0.0,1.1795376273938745,0.09941176470588231
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.26,0.0,0.0,0.0,-0.61,0.29,1.2003529972890603,0.01764705882352935
2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2003529972890603,0.0
