,ORCL,STX,WMT,SWKS,PYPL,QCOM,TXN,WDC,V,PM,KO,MNST,COST,MktVal,PctReturns
2020-01-10,0.3,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0446153846153847,0.04461538461538472
2020-01-17,-0.5,-0.62,0.0,0.0,0.0,-0.74,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.9208686390532544,-0.11846153846153851
2020-01-24,0.0,0.0,0.0,-0.62,0.0,-0.27,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.8727001256258534,-0.05230769230769239
2020-01-31,0.0,0.0,0.31,0.27,0.0,0.0,0.0,0.0,0.28,0.0,0.26,0.0,0.0,0.9478865979874654,0.08615384615384625
2020-02-07,0.0,0.0,0.0,0.25,-0.4,0.28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.979239770074743,0.033076923076923004
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0018376109226217,0.023076923076922995
2020-02-21,0.0,0.0,-0.75,-0.6,-0.75,-0.74,0.0,0.0,0.0,0.0,-0.72,0.0,0.0,0.7274882343930422,-0.27384615384615385
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7274882343930422,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7274882343930422,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,0.0,0.69111382267339,-0.050000000000000044
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69111382267339,0.0
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69111382267339,0.0
2020-04-03,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7081258552315043,0.024615384615384706
2020-04-09,0.0,0.0,-0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,0.6313214355487027,-0.1084615384615385
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6313214355487027,0.0
2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6313214355487027,0.0
2020-05-01,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6507467104886627,0.03076923076923066
2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.6627604959130688,0.01846153846153853
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6627604959130688,0.0
2020-05-22,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6806040477261129,0.026923076923076827
2020-05-29,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.7130636253868968,0.0476923076923077
2020-06-05,0.0,-0.19,0.0,0.0,0.0,0.0,-0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.6691827869015493,-0.06153846153846154
2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.6851402225892016,0.02384615384615385
2020-06-19,0.0,0.0,0.33,0.0,0.15,0.0,0.0,0.0,0.0,-0.68,0.0,0.0,0.32,0.6914645938746403,0.009230769230769154
2020-06-26,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7106128441665535,0.027692307692307683
2020-07-02,0.26,0.0,-0.74,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6991337136069399,-0.016153846153846185
2020-07-10,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718494339522209,0.027692307692307683
2020-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718494339522209,0.0
2020-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.7372857299404821,0.026153846153846194
2020-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.7253757296875974,-0.016153846153846074
2020-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.7242597670265396,-0.0015384615384614886
2020-08-14,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.7420876997533468,0.024615384615384706
2020-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,0.7318126392952236,-0.01384615384615373
2020-08-28,0.24,0.0,0.0,0.0,-0.54,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.38,0.7458859592816701,0.019230769230769162
2020-09-04,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.36,0.26,0.0,0.0,0.27,0.32,0.8336709991048206,0.11769230769230776
2020-09-11,-0.2,-0.42,0.28,0.0,0.33,0.0,0.0,0.0,0.28,0.0,0.0,0.18,0.0,0.862528841381526,0.034615384615384714
2020-09-18,0.3,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9056552834506023,0.050000000000000044
2020-09-25,0.33,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.34,0.3,0.0,0.0,0.9969174697060091,0.10076923076923072
2020-10-02,0.0,0.0,0.0,-0.46,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.9647093668385842,-0.03230769230769237
2020-10-09,0.36,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.26,0.0,0.38,0.0,0.0,1.0374336114156466,0.07538461538461516
2020-10-16,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,1.0869112144216235,0.0476923076923077
2020-10-23,0.0,0.0,0.0,-0.02,0.0,0.0,-0.1,0.0,0.0,0.0,-0.66,0.0,0.0,1.0216965415563262,-0.05999999999999994
2020-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0216965415563262,0.0
2020-11-06,0.0,0.0,0.0,0.0,-0.68,0.0,0.0,0.0,-0.68,0.0,0.0,0.0,0.0,0.9148113649012027,-0.10461538461538467
2020-11-13,0.0,0.36,0.0,0.36,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.16,0.0,1.0048850992914748,0.09846153846153838
2020-11-20,0.0,0.0,0.0,0.26,-0.67,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,0.9252672798860734,-0.07923076923076922
2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,-0.64,0.3,0.0,0.1,0.0,0.0,0.8612103143554991,-0.0692307692307692
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.4,0.0,0.0,0.9049332995458551,0.05076923076923068
2020-12-11,0.0,0.0,0.0,-0.6,-0.73,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.8374113533489721,-0.07461538461538464
2020-12-18,0.0,0.0,0.33,0.0,0.0,0.3,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.8979626358218978,0.0723076923076924
2020-12-24,0.0,0.0,0.0,0.0,0.0,-0.32,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.8275071059343335,-0.07846153846153847
2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8275071059343335,0.0
