,WMT,ORCL,PYPL,STX,SWKS,TXN,QCOM,V,COST,KO,MNST,PM,WDC,MktVal,PctReturns
2016-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.9961538461538462,-0.0038461538461538325
2016-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,-0.0,0.0,0.0,0.0,0.0,1.0099467455621303,0.013846153846153841
2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0099467455621303,0.0
2016-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,-0.1,0.0,0.0,0.0,1.0309225625853438,0.020769230769230873
2016-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.38,0.0,1.0864337774937853,0.05384615384615388
2016-02-26,0.32,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.4,0.0,0.0,-0.64,0.0,1.1248768188512577,0.03538461538461535
2016-03-04,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.3,-0.72,0.0,0.0,0.0,1.1179544999660191,-0.006153846153846176
2016-03-11,0.28,0.0,0.0,0.26,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1162345699660714,-0.0015384615384615996
2016-03-18,0.34,0.32,0.0,0.0,0.27,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2252821010319876,0.09769230769230774
2016-03-24,-0.02,0.0,0.4,0.0,0.0,0.0,0.0,0.0,-0.68,0.0,0.0,0.0,0.0,1.1970063602389418,-0.023076923076923106
2016-04-01,0.0,0.0,0.34,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2577774523741496,0.05076923076923068
2016-04-08,0.24,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.3080885504691155,0.040000000000000036
2016-04-15,0.36,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,0.0,-0.12,0.0,1.31613832616431,0.006153846153846176
2016-04-22,-0.72,0.0,0.0,0.0,0.0,0.0,-0.62,0.08,0.0,0.0,0.0,0.32,0.0,1.22097140104166,-0.0723076923076923
2016-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.2303634887419803,0.007692307692307665
2016-05-06,0.0,0.28,0.0,0.0,0.0,0.32,0.0,0.0,0.29,0.0,0.38,0.0,0.0,1.350560537257543,0.09769230769230774
2016-05-13,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,-0.62,0.0,-0.13,0.0,1.210310019926952,-0.10384615384615381
2016-05-20,0.0,0.2,0.0,0.0,0.32,0.0,0.0,0.0,0.0,-0.26,0.0,0.0,0.0,1.2345162203254911,0.020000000000000018
2016-05-27,0.0,-0.52,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2117251516425591,-0.018461538461538307
2016-06-03,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,-0.58,0.31,0.27,0.0,1.27510769803617,0.05230769230769239
2016-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,1.3113992248264303,0.028461538461538538
