,KO,COST,MNST,PM,ORCL,WMT,STX,PYPL,SWKS,TXN,QCOM,V,WDC,FFIV,GLW,HPE,HPQ,IBM,JNPR,INTC,MA,MSFT,MU,NTAP,NVDA,AMAT,AKAM,ACN,AMD,CTSH,CSCO,CRM,NKE,MCD,HD,SBUX,TGT,GM,AMZN,DG,LVS,F,EBAY,DHI,YUM,BBY,CZR,EXPE,CMG,MGM,PHM,WYNN,AAL,AXP,MMM,AMGN,BA,CAT,DAL,CVX,JNJ,GS,FDX,JPM,KSU,MRK,NSC,PG,LUV,UNP,UAL,UPS,UNH,VZ,WBA,DIS,MktVal,PctReturns
2016-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-0.07,0.33,0.28,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021046511627907,0.02104651162790705
2016-01-22,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.39,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.74,0.26,0.0,1.0350562195781503,0.013720930232558048
2016-01-29,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,-0.32,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,-0.74,0.0,0.0,-0.75,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,-0.04,0.0,0.0,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0229003267668255,-0.011744186046511618
2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.33,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,1.0400279601452467,0.016744186046511622
2016-02-12,-0.1,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.58,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-0.72,0.0,-0.59,-0.6,0.0,0.0,0.0,0.0,-0.54,0.0,0.0,-0.6,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0012083118654067,-0.037325581395348806
2016-02-19,0.0,0.32,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,-0.66,0.15,0.26,0.0,0.34,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.28,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,-0.42,0.0,0.36,0.3,0.0,0.0,0.0,0.36,0.34,0.0,0.0,0.0,-0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.36,0.0,0.4,1.0187876671086251,0.017558139534883832
2016-02-26,0.0,0.4,0.0,-0.64,0.0,0.32,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,-0.06,-0.71,0.0,0.02,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,0.0,0.32,0.32,0.0,0.28,0.39,0.4,0.0,0.0,0.33,0.0,0.0,-0.6,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.34,0.29,0.0,0.0,0.31,0.0,0.0,-0.64,0.36,0.0,0.0,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.22,0.0,0.0,1.0415326940952363,0.022325581395348904
2016-03-04,-0.72,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.33,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,-0.06,0.34,0.0,0.28,0.38,0.0,0.26,0.0,0.34,0.0,0.0,0.38,-0.7,-0.61,0.0,0.0,0.34,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.32,0.38,0.0,0.08,0.0,-0.62,0.0,0.28,0.0,0.31,0.0,0.0,0.0,0.0,1.0802873989918034,0.037209302325581506
2016-03-11,0.0,0.0,0.0,0.0,0.0,0.28,0.26,0.0,-0.56,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.12,-0.69,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.52,0.0,0.0,0.4,-0.66,0.0,0.0,0.0,0.27,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,-0.7,0.0,-0.67,0.0,0.0,0.0,0.0,1.0583048065704586,-0.02034883720930236
2016-03-18,0.0,0.0,0.0,0.0,0.32,0.34,0.0,0.0,0.27,0.34,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.12,0.4,0.36,-0.58,0.0,0.28,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.32,0.0,0.04,0.0,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.28,0.32,-0.58,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.35,-0.68,0.0,0.0,-0.47,0.0,0.0,-0.21,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0696262068267937,0.010697674418604697
