Ticker,Ideal Volatility,Mid Market Cap,Reverse Volatility,3yr Sharpe Ratio
A,1,0,0,0
AAT,0,0,0,1
AAXJ,0,0,0,1
ABBV,0,0,0,1
ABC,1,0,0,0
ABMD,0,0,0,1
ABT,1,0,0,0
ACAD,0,0,0,1
ACB,0,0,1,0
ACC,0,0,0,1
ACHC,0,0,0,1
ACLS,0,1,0,1
ACN,1,0,0,0
ACRS,0,1,1,0
ACWX,0,0,0,1
ADBE,1,0,0,0
ADC,1,0,0,0
ADM,1,0,0,0
ADP,1,0,0,0
AEO,0,0,0,1
AEP,1,0,0,0
AER,0,0,0,1
AFG,0,0,0,1
AFL,0,0,0,1
AGM,0,1,0,1
AGO,0,0,0,1
AGYS,0,1,0,0
AHH,0,1,0,0
AIA,1,0,0,0
AIMC,0,0,0,1
AIN,0,0,0,1
AIR,0,1,0,0
AIT,0,0,0,1
AIZ,1,0,0,0
AJG,1,0,0,0
AKAM,1,0,0,0
AL,0,0,0,1
ALE,1,0,0,0
ALEX,0,1,0,0
ALGT,0,0,0,1
ALK,0,0,0,1
ALL,1,0,0,1
ALSN,0,0,0,1
ALXN,0,0,0,1
AMC,0,0,1,0
AMCX,0,0,0,1
AMGN,1,0,0,0
AMRC,0,1,0,0
AMRN,0,0,1,0
AMRS,0,0,1,0
AMRX,0,1,0,0
AMSF,0,1,0,0
ANET,0,0,0,1
ANF,0,0,0,1
ANGI,0,1,0,0
ANGL,0,0,0,1
AON,1,0,0,0
AOS,0,0,0,1
APA,0,0,1,0
APD,1,0,0,0
APHA,0,0,1,0
APPS,0,0,1,0
AR,0,0,1,0
ARCC,0,0,0,1
ARCO,0,1,0,0
ARCT,0,1,1,0
ARE,1,0,0,0
AROC,0,1,0,1
ARW,0,0,0,1
ASGN,0,0,0,1
ASH,0,0,0,1
ASR,0,0,0,1
ASTE,0,0,0,1
ATRA,0,1,0,0
AUB,0,0,0,1
AUPH,0,0,1,0
AVA,1,0,0,0
AVB,1,0,0,1
AVNT,0,0,0,1
AWR,1,0,0,0
AX,0,0,0,1
AXL,0,1,0,0
AXSM,0,0,1,0
AY,1,0,0,0
AZN,1,0,0,0
AZO,1,0,0,0
AZZ,0,1,0,1
BAC,0,0,0,1
BAH,1,0,0,0
BANF,0,0,0,1
BAX,1,0,0,0
BBBY,0,0,1,1
BCC,0,0,0,1
BCE,0,0,0,1
BCO,0,0,0,1
BCRX,0,0,1,0
BDX,1,0,0,1
BEP,1,0,0,0
BERY,0,0,0,1
BF.A,1,0,0,1
BF.B,1,0,0,0
BG,0,0,0,1
BGCP,0,1,0,0
BHE,0,1,0,0
BHLB,0,1,0,0
BIDU,0,0,0,1
BIG,0,0,0,1
BIIB,0,0,0,1
BIP,1,0,0,0
BJRI,0,1,0,1
BKD,0,1,0,0
BKI,1,0,0,0
BKNG,0,0,0,1
BKU,0,0,0,1
BLFS,0,1,0,0
BLL,1,0,0,0
BLMN,0,0,0,1
BLNK,0,1,1,0
BMA,0,1,0,0
BMO,0,0,0,1
BMY,1,0,0,1
BNDX,0,0,0,1
BNS,1,0,0,1
BOH,0,0,0,1
BOX,0,0,0,1
BPFH,0,1,0,0
BPMC,0,0,0,1
BRK.B,1,0,0,0
BRKL,0,1,0,0
BRO,1,0,0,0
BRX,0,0,0,1
BSIG,0,1,0,1
BSX,1,0,0,0
BUSE,0,1,0,0
BXMT,0,0,0,1
BXS,0,0,0,1
C,0,0,0,1
CACC,0,0,0,1
CAE,0,0,0,1
CAG,0,0,0,1
CAJ,1,0,0,0
CAKE,0,0,0,1
CAMT,0,1,0,0
CAR,0,0,0,1
CASH,0,1,0,1
CASY,1,0,0,0
CATM,0,0,0,1
CATY,0,0,0,1
CB,1,0,0,1
CBD,0,1,0,0
CBRL,0,0,0,1
CBSH,1,0,0,0
CBU,1,0,0,0
CCEP,0,0,0,1
CCXI,0,0,1,0
CDE,0,0,0,1
CDMO,0,1,0,0
CDXS,0,1,0,0
CENT,0,1,0,0
CENX,0,1,0,0
CEQP,0,0,1,0
CERN,1,0,0,0
CEVA,0,1,0,0
CF,0,0,0,1
CFFN,1,0,0,1
CFG,0,0,0,1
CFR,0,0,0,1
CFX,0,0,0,1
CGC,0,0,1,1
CHCO,1,1,0,1
CHD,1,0,0,0
CHE,1,0,0,0
CHEF,0,1,0,1
CHH,0,0,0,1
CHKP,1,0,0,1
CHRS,0,1,0,1
CHRW,1,0,0,1
CHT,0,0,0,1
CIBR,1,0,0,0
CL,0,0,0,1
CLB,0,1,0,0
CLI,0,1,0,0
CLNE,0,0,1,0
CLNY,0,0,0,1
CLR,0,0,1,0
CLS,0,1,0,0
CLX,1,0,0,0
CM,1,0,0,1
CMCO,0,1,0,0
CMCSA,1,0,0,0
CME,1,0,0,0
CMP,0,0,0,1
CMRE,0,1,0,0
CNA,1,0,0,0
CNHI,0,0,0,1
CNI,1,0,0,0
CNO,0,0,0,1
CNQ,0,0,0,1
CNXN,0,1,0,0
CODI,0,1,0,1
COF,0,0,0,1
COHR,0,0,0,1
COLB,0,0,0,1
COO,1,0,0,0
